"Language","Variant","MaxRate","MedRate","MinRate","Spread","Speedup"
"csharp","rung-0-baseline","97.2","96.31","93.38","1.041","1"
"csharp","rung-1-flat-array","196.3","187.1","180.29","1.089","2.02"
"csharp","rung-2-sqrt-bound","478.69","466.58","432.59","1.107","4.92"
"csharp","rung-3-mark-from-square","513.17","493.42","480.5","1.068","5.28"
"csharp","rung-4-odds-only","1221.96","1130","1074.77","1.137","12.57"
"csharp","rung-5-bitset","1154.54","1074.14","1052.35","1.097","11.88"
"csharp","rung-6-on-byte-array","1265.37","1199.38","1144.75","1.105","13.02"
"csharp","rung-6-pooled","1254","1172.44","1165.1","1.076","12.9"
"csharp","rung-6-zero-means-prime","1258.3","1166.57","1134.9","1.109","12.95"
"csharp","rung-7-cache-blocking","1230.44","1131.12","1114.59","1.104","12.66"
"csharp","rung-8-wheel-30","5221.16","4961.79","4549.31","1.148","53.72"
"csharp","rung-9-no-bounds-checks","1197.04","1112.18","1096.34","1.092","12.32"
"fsharp","rung-0-baseline","204.77","178.49","174.53","1.173","1"
"fsharp","rung-1-array-create","197.8","179.4","170.75","1.158","0.97"
"fsharp","rung-2-sqrt-bound","370.65","360.46","328.38","1.129","1.81"
"fsharp","rung-3-mark-from-square","425.69","390.54","359.02","1.186","2.08"
"fsharp","rung-4-odds-only","1150.39","1064.56","1026.39","1.121","5.62"
"fsharp","rung-5-bitset","1283.29","1175.88","1129.64","1.136","6.27"
"fsharp","rung-6-on-byte-array","1481.87","1374.68","1335.69","1.109","7.24"
"fsharp","rung-6-zero-means-prime","1340.35","1291.94","1243.11","1.078","6.55"
"go","rung-0-baseline","225.54","191.94","188.28","1.198","1"
"go","rung-2-sqrt-bound","458.26","421.93","352.61","1.3","2.03"
"go","rung-3-mark-from-square","505.61","447.59","398.38","1.269","2.24"
"go","rung-4-odds-only","1152.11","952.7","923.19","1.248","5.11"
"go","rung-5-bitset","1519.05","1393.42","1302.28","1.166","6.74"
"go","rung-6-on-byte-array","1281.28","1128.37","1091.26","1.174","5.68"
"go","rung-6-zero-means-prime","1542.99","1401.95","1198.94","1.287","6.84"
"javascript","rung-0-baseline","67.72","64.76","60.2","1.125","1"
"javascript","rung-1-typed-array","146.93","146.05","142.95","1.028","2.17"
"javascript","rung-2-sqrt-bound","422.26","394.29","377.47","1.119","6.24"
"javascript","rung-3-mark-from-square","449.94","409.72","389.52","1.155","6.64"
"javascript","rung-4-odds-only","1019.02","963.52","906.28","1.124","15.05"
"javascript","rung-5-bitset","969.21","962.25","883.91","1.097","14.31"
"javascript","rung-6-on-byte-array","1039.87","1005.56","924.18","1.125","15.36"
"javascript","rung-6-zero-means-prime","965.58","904.83","863.33","1.118","14.26"
