"Language","Variant","MaxRate","MedRate","MinRate","Spread","Speedup"
"csharp","rung-0-baseline","101.5","96.13","94.34","1.076","1"
"csharp","rung-1-flat-array","198.98","185.24","182.32","1.091","1.96"
"csharp","rung-2-sqrt-bound","502.33","458.52","429.97","1.168","4.95"
"csharp","rung-3-mark-from-square","502.35","485.77","478.47","1.05","4.95"
"csharp","rung-4-odds-only","1178.73","1131.6","1100.33","1.071","11.61"
"csharp","rung-5-bitset","1139.6","1067.88","1045.96","1.09","11.23"
"csharp","rung-6-on-byte-array","1284.56","1181.9","1172.09","1.096","12.66"
"csharp","rung-6-pooled","1267.21","1178.14","1155.67","1.097","12.48"
"csharp","rung-6-zero-means-prime","1238.82","1165.34","1147.56","1.08","12.21"
"csharp","rung-7-cache-blocking","1252.26","1157.04","1127.06","1.111","12.34"
"csharp","rung-8-wheel-30","4832.1","4695.34","4592.08","1.052","47.61"
"csharp","rung-9-no-bounds-checks","1204.58","1119.86","1102.63","1.092","11.87"
"fsharp","rung-0-baseline","184.95","181.33","177.5","1.042","1"
"fsharp","rung-1-array-create","207.28","180.55","160.39","1.292","1.12"
"fsharp","rung-2-sqrt-bound","433.48","378.78","340.42","1.273","2.34"
"fsharp","rung-3-mark-from-square","459.08","435.71","413.58","1.11","2.48"
"fsharp","rung-4-odds-only","1115.61","1067.03","1035.55","1.077","6.03"
"fsharp","rung-5-bitset","1275.47","1190.16","1136.41","1.122","6.9"
"fsharp","rung-6-on-byte-array","1481.95","1373.75","1331.2","1.113","8.01"
"fsharp","rung-6-zero-means-prime","1248.82","1242.05","1210.82","1.031","6.75"
"go","rung-0-baseline","218.66","189.16","167.07","1.309","1"
"go","rung-2-sqrt-bound","472.96","458.94","405.32","1.167","2.16"
"go","rung-3-mark-from-square","453.16","421.13","392.05","1.156","2.07"
"go","rung-4-odds-only","1166.68","959.28","741.62","1.573","5.34"
"go","rung-5-bitset","1507.2","1389.54","1278.18","1.179","6.89"
"go","rung-6-on-byte-array","1279.3","1149.03","957.52","1.336","5.85"
"go","rung-6-zero-means-prime","1464.7","1402.92","1334.04","1.098","6.7"
"javascript","rung-0-baseline","67.6","62.28","60.02","1.126","1"
"javascript","rung-1-typed-array","158.78","144.83","140.95","1.127","2.35"
"javascript","rung-2-sqrt-bound","406.42","382.99","378.6","1.073","6.01"
"javascript","rung-3-mark-from-square","428.84","416.57","391.75","1.095","6.34"
"javascript","rung-4-odds-only","1019.54","937.13","901.42","1.131","15.08"
"javascript","rung-5-bitset","933.23","889.08","869.56","1.073","13.81"
"javascript","rung-6-on-byte-array","994.75","973.22","915.97","1.086","14.72"
"javascript","rung-6-zero-means-prime","984.5","906.15","893.7","1.102","14.56"
