"Rep","At","Language","Variant","Laps","Seconds","Rate","Sha256"
"1","2026-09-16T16:18:41.3364480Z","csharp","rung-1-flat-array","1232","5.000998","246.351","FEA81C18EBFE"
"1","2026-09-16T16:18:48.8820056Z","fsharp","rung-5-bitset","7870","5.00063","1573.802","26FB6998DC97"
"1","2026-09-16T16:18:56.2257758Z","csharp","rung-0-baseline","642","5.006491","128.234","0FC0B93D4B0D"
"1","2026-09-16T16:19:03.6095505Z","csharp","rung-5-bitset","7074","5.000114","1414.768","7DF8F50FC42F"
"1","2026-09-16T16:19:11.1130861Z","javascript","rung-3-mark-from-square","2705","5.000625","540.932","37337FFA0322"
"1","2026-09-16T16:19:18.5219796Z","fsharp","rung-6-zero-means-prime","8164","5.000454","1632.652","C2C117DD1FF1"
"1","2026-09-16T16:19:25.8439487Z","csharp","rung-9-no-bounds-checks","7361","5","1472.2","1B0E27B2CBDF"
"1","2026-09-16T16:19:33.2351763Z","javascript","rung-1-typed-array","957","5.003073","191.282","147ED0E18C96"
"1","2026-09-16T16:19:40.3272420Z","go","rung-6-zero-means-prime","8906","5.000399","1781.058","DCEDF4501C73"
"1","2026-09-16T16:19:49.0907788Z","go","rung-2-sqrt-bound","2803","5.001382","560.445","9EEFD848FD6B"
"1","2026-09-16T16:19:56.4709603Z","javascript","rung-6-zero-means-prime","5897","5.000264","1179.338","C8DE3F942057"
"1","2026-09-16T16:20:03.8846554Z","fsharp","rung-4-odds-only","7083","5.000443","1416.475","AF5184E4D1D3"
"1","2026-09-16T16:20:11.2596279Z","javascript","rung-4-odds-only","6222","5.000203","1244.349","97FF02B7C94B"
"1","2026-09-16T16:20:18.6499904Z","csharp","rung-8-wheel-30","30977","5.000114","6195.259","F949610C7F0D"
"1","2026-09-16T16:20:26.0159304Z","csharp","rung-4-odds-only","7486","5.000178","1497.147","A9E38F0D58F6"
"1","2026-09-16T16:20:34.4260852Z","go","rung-0-baseline","1345","5.002557","268.863","8EFD26C59F34"
"1","2026-09-16T16:20:41.7764725Z","csharp","rung-6-pooled","7793","5.000522","1558.437","67FD9788EA7C"
"1","2026-09-16T16:20:50.2618786Z","go","rung-5-bitset","8323","5.000979","1664.274","6FBE0CFD07E3"
"1","2026-09-16T16:20:57.6831514Z","fsharp","rung-0-baseline","1190","5.001618","237.923","979613F22313"
"1","2026-09-16T16:21:05.0900661Z","javascript","rung-2-sqrt-bound","2536","5.001731","507.025","6CD17EE420CC"
"1","2026-09-16T16:21:12.4811813Z","fsharp","rung-1-array-create","1210","5.003634","241.824","2371EDE8D76D"
"1","2026-09-16T16:21:19.8420924Z","csharp","rung-7-cache-blocking","7616","5.000424","1523.071","741BCA8C0F40"
"1","2026-09-16T16:21:28.3614925Z","go","rung-4-odds-only","6361","5.001309","1271.867","9D3FB860C37B"
"1","2026-09-16T16:21:35.7663827Z","fsharp","rung-3-mark-from-square","2812","5.000201","562.377","8A5EC11F814D"
"1","2026-09-16T16:21:43.1784935Z","fsharp","rung-2-sqrt-bound","2627","5.000958","525.299","FEBDC9F2B820"
"1","2026-09-16T16:21:50.5559452Z","javascript","rung-5-bitset","5917","5.000512","1183.279","CA528B61F4BB"
"1","2026-09-16T16:21:57.9389858Z","csharp","rung-6-zero-means-prime","7699","5.000595","1539.617","D6CD0946F30C"
"1","2026-09-16T16:22:05.3063186Z","csharp","rung-3-mark-from-square","3148","5.000389","629.551","D1FDACCD0079"
"1","2026-09-16T16:22:14.1689715Z","go","rung-3-mark-from-square","2856","5.000163","571.181","194C5C38230D"
