"Language","Variant","MaxRate","MedRate","MinRate","Spread","Speedup"
"csharp","rung-0-baseline","129.94","128.23","126.32","1.029","1"
"csharp","rung-1-flat-array","252.47","247.46","243.54","1.037","1.94"
"csharp","rung-2-sqrt-bound","611.11","599.94","593.78","1.029","4.7"
"csharp","rung-3-mark-from-square","660.99","654.38","620.14","1.066","5.09"
"csharp","rung-4-odds-only","1502.3","1497.15","1460.63","1.029","11.56"
"csharp","rung-5-bitset","1427.65","1418.97","1414.77","1.009","10.99"
"csharp","rung-6-pooled","1561.65","1550.97","1534.61","1.018","12.02"
"csharp","rung-6-zero-means-prime","1545.14","1539.5","1518.21","1.018","11.89"
"csharp","rung-7-cache-blocking","1528.78","1523.07","1515.81","1.009","11.77"
"csharp","rung-8-wheel-30","6195.26","6157.19","6096.48","1.016","47.68"
"csharp","rung-9-no-bounds-checks","1490.95","1489.25","1472.2","1.013","11.47"
"fsharp","rung-0-baseline","249.08","237.56","228.26","1.091","1"
"fsharp","rung-1-array-create","250.32","241.82","231.48","1.081","1"
"fsharp","rung-2-sqrt-bound","544.24","522.86","496.26","1.097","2.19"
"fsharp","rung-3-mark-from-square","574.21","562.38","438.3","1.31","2.31"
"fsharp","rung-4-odds-only","1416.48","1413.91","1405.59","1.008","5.69"
"fsharp","rung-5-bitset","1583.52","1573.8","1562.29","1.014","6.36"
"fsharp","rung-6-zero-means-prime","1649.27","1634.8","1593.4","1.035","6.62"
"go","rung-0-baseline","268.86","259.92","200.91","1.338","1"
"go","rung-2-sqrt-bound","595.58","560.45","547.76","1.087","2.22"
"go","rung-3-mark-from-square","591.62","571.18","561.76","1.053","2.2"
"go","rung-4-odds-only","1383.5","1307.13","1271.87","1.088","5.15"
"go","rung-5-bitset","1801.48","1664.27","1620.68","1.112","6.7"
"go","rung-6-zero-means-prime","1832.34","1781.06","1760.12","1.041","6.82"
"javascript","rung-0-baseline","84.46","83.82","78.51","1.076","1"
"javascript","rung-1-typed-array","193.34","191.28","186.24","1.038","2.29"
"javascript","rung-2-sqrt-bound","508.04","502.24","476.3","1.067","6.02"
"javascript","rung-3-mark-from-square","548.33","540.93","530.96","1.033","6.49"
"javascript","rung-4-odds-only","1244.35","1217.7","1173.43","1.06","14.73"
"javascript","rung-5-bitset","1188.48","1176.24","1170.6","1.015","14.07"
"javascript","rung-6-zero-means-prime","1189.04","1179.34","1161.13","1.024","14.08"
